"WeekCountry";"FstDose";"SecDose"
"Cyprus2022-08";798.0;2083.0
"Cyprus2022-09";814.0;2118.0
"Cyprus2022-10";637.0;1292.0
"Cyprus2022-11";705.0;939.0
"Cyprus2022-12";644.0;732.0
"Cyprus2022-13";829.0;779.0
"Cyprus2022-14";917.0;816.0
"Cyprus2022-15";827.0;606.0
"Cyprus2022-16";429.0;483.0
"Cyprus2022-17";542.0;863.0
"Cyprus2022-18";640.0;419.0
"Cyprus2022-19";554.0;353.0
"Cyprus2022-20";334.0;196.0
"Cyprus2022-21";329.0;236.0
"Cyprus2022-22";95.0;133.0
"Cyprus2022-23";225.0;177.0
"Cyprus2022-24";162.0;138.0
"Cyprus2022-25";221.0;116.0
"Cyprus2022-26";230.0;100.0
"Cyprus2022-27";209.0;128.0
"Cyprus2022-28";114.0;117.0
"Cyprus2022-29";232.0;126.0
"Cyprus2022-30";232.0;126.0
"Cyprus2022-31";348.0;96.0
"Cyprus2022-32";181.0;85.0
"Cyprus2022-33";138.0;75.0
"Cyprus2022-34";163.0;66.0
"Cyprus2022-35";162.0;76.0
"Cyprus2022-36";244.0;59.0
"Cyprus2022-37";296.0;81.0
"Cyprus2022-38";11.0;5.0
"Cyprus2022-39";10.0;8.0
"Cyprus2022-40";196.0;41.0
"Cyprus2022-41";216.0;52.0
"Cyprus2022-42";6.0;10.0
"Cyprus2022-43";118.0;22.0
"Cyprus2022-44";208.0;46.0
"Cyprus2022-45";255.0;39.0
"Cyprus2022-46";228.0;37.0
"Cyprus2022-47";44.0;24.0
"Cyprus2022-48";181.0;82.0
"Cyprus2022-49";154.0;46.0
"Cyprus2022-50";77.0;41.0
"Cyprus2022-51";32.0;43.0
"Cyprus2022-52";709.0;40.0
"Cyprus2023-01";15.0;26.0
"Cyprus2023-02";37.0;18.0
"Cyprus2023-03";61.0;24.0
"Cyprus2023-04";41.0;12.0
"Cyprus2023-05";42.0;27.0
"Cyprus2023-06";81.0;62.0
"Cyprus2023-07";89.0;14.0
"Cyprus2023-08";29.0;16.0
"Cyprus2023-09";127.0;12.0
"Cyprus2023-10";146.0;13.0
"Cyprus2023-11";126.0;19.0
"Cyprus2023-12";120.0;8.0
"Cyprus2023-13";90.0;13.0
"Cyprus2023-14";68.0;11.0
"Cyprus2023-15";22.0;13.0
"Cyprus2023-16";59.0;20.0
"Cyprus2023-17";18.0;12.0
"Cyprus2023-18";18.0;13.0
"Cyprus2023-19";34.0;6.0
"Cyprus2023-20";37.0;8.0
"Cyprus2023-21";16.0;12.0
"Cyprus2023-22";6.0;3.0
"Cyprus2023-23";8.0;7.0
"Cyprus2023-25";14.0;0.0
"Cyprus2023-26";0.0;0.0
"Cyprus2023-27";4.0;0.0
"Cyprus2023-28";0.0;0.0
"Cyprus2023-29";0.0;0.0
"Cyprus2023-30";0.0;0.0
"Cyprus2023-31";0.0;0.0
"Cyprus2023-32";0.0;0.0
"Cyprus2023-33";2.0;0.0
"Cyprus2023-34";0.0;0.0
"Cyprus2023-35";0.0;0.0
"Cyprus2023-36";2.0;2.0
"Cyprus2023-37";1.0;0.0
"Czech Republic2020-52";3640.0;0.0
"Czech Republic2020-53";37755.0;0.0
"Czech Republic2021-01";103023.0;13.0
"Czech Republic2021-02";196963.0;1878.0
"Czech Republic2021-03";187559.0;33856.0
"Czech Republic2021-04";105762.0;80381.0
"Czech Republic2021-05";57977.0;157965.0
